Ano Censo,Número de Matrículas,Nome Região,Nome UF,Nome Localização,Nome Município,Nome Curso,Nome Curso,Sigla UF,Sigla Região
2012,129,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,EDUCAÇÃO FÍSICA,EDUCAÇÃO FÍSICA,RN,NE
2012,17,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENFERMAGEM,ENFERMAGEM,RN,NE
2012,320,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENFERMAGEM,ENFERMAGEM,RN,NE
2012,439,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENFERMAGEM,ENFERMAGEM,RN,NE
2012,485,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENFERMAGEM,ENFERMAGEM,RN,NE
2012,1937,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENFERMAGEM,ENFERMAGEM,RN,NE
2012,730,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENFERMAGEM,ENFERMAGEM,RN,NE
2012,353,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENFERMAGEM,ENFERMAGEM,RN,NE
2012,11,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA AMBIENTAL,ENGENHARIA AMBIENTAL,RN,NE
2012,31,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA AMBIENTAL E SANITÁRIA,ENGENHARIA AMBIENTAL E SANITÁRIA,RN,NE
2012,3,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA BIOMÉDICA,ENGENHARIA BIOMÉDICA,RN,NE
2012,2105,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA CIVIL,ENGENHARIA CIVIL,RN,NE
2012,637,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA CIVIL,ENGENHARIA CIVIL,RN,NE
2012,4,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA DA COMPUTAÇÃO,ENGENHARIA DA COMPUTAÇÃO,RN,NE
2012,147,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA DA COMPUTAÇÃO,ENGENHARIA DA COMPUTAÇÃO,RN,NE
2012,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA DA COMPUTAÇÃO,ENGENHARIA DA COMPUTAÇÃO,RN,NE
2012,181,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA DE ALIMENTOS,ENGENHARIA DE ALIMENTOS,RN,NE
2012,86,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA DE AQUICULTURA,ENGENHARIA DE AQUICULTURA,RN,NE
2012,211,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA DE COMPUTAÇÃO,ENGENHARIA DE COMPUTAÇÃO,RN,NE
2012,43,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA DE MATERIAIS,ENGENHARIA DE MATERIAIS,RN,NE
2012,66,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA DE PETRÓLEO,ENGENHARIA DE PETRÓLEO,RN,NE
2012,347,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA DE PETRÓLEO E GÁS,ENGENHARIA DE PETRÓLEO E GÁS,RN,NE
2012,362,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA DE PRODUÇÃO,ENGENHARIA DE PRODUÇÃO,RN,NE
2012,243,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,ENGENHARIA DE PRODUÇÃO,ENGENHARIA DE PRODUÇÃO,RN,NE
